664298969,Twelfth night,1965 1954,Yale University Pr.
9392842,"Edward Weston in Mexico, 1923-1926",1983,Published for the San Francisco Museum of Modern Art by the University of New Mexico Press
2521773,Photographs of the Southwest,1976,New York Graphic Society
8844023,Portraits,1982,University of Texas Press
10182889,Zhejiang wen xian cong kao,1983,"Zhejiang sheng xin hua shu dian fa xing, Zhejiang ren min chu ban she"
