664298969,Twelfth night,"  William P Holden,  Shakespeare  William ,  William Shakespeare",1965 1954,Yale University Pr.,
9392842,"Edward Weston in Mexico, 1923-1926","  Amy Conger,  Edward Weston,  Weston  Edward ",1983,Published for the San Francisco Museum of Modern Art by the University of New Mexico Press,Examines Westons experiments with still lifes and landscape photography
2521773,Photographs of the Southwest,"Ansel Adams,  Lawrence Clark Powell",1976,New York Graphic Society,More than 100 photographs of the Southwest by the renowned artist  including views of the national parks such as the Grand Canyon  Zion  Death Valley  and Joshua Tree  among others; as well as images of Navajo Mountain  Hopi Buttes  Taos Pueblo  saguaro cactus  gravestones  and other varied subjects
8844023,Portraits,"  Bill Brandt,  Brandt  Bill ",1982,University of Texas Press,
10182889,Zhejiang wen xian cong kao,Huanchun Hong,1983,"Zhejiang sheng xin hua shu dian fa xing, Zhejiang ren min chu ban she",
